iter	Passed	Remaining
0	65	26043
1	120	23895
2	178	23610
3	237	23464
4	293	23217
5	350	22992
6	406	22823
7	465	22822
8	523	22752
9	576	22486
10	633	22409
11	692	22393
12	751	22365
13	808	22283
14	865	22220
15	925	22217
16	988	22264
17	1048	22260
18	1108	22225
19	1162	22089
20	1219	22006
21	1273	21880
22	1326	21736
23	1378	21590
24	1431	21465
25	1487	21398
26	1543	21326
27	1598	21234
28	1651	21132
29	1707	21055
30	1765	21012
31	1822	20958
32	1881	20925
33	1939	20873
34	1996	20822
35	2052	20755
36	2110	20706
37	2164	20622
38	2223	20585
39	2279	20517
40	2334	20437
41	2391	20388
42	2448	20332
43	2506	20283
44	2563	20222
45	2620	20169
46	2680	20129
47	2739	20091
48	2799	20053
49	2859	20017
50	2920	19988
51	2975	19911
52	3034	19867
53	3090	19804
54	3148	19750
55	3204	19684
56	3260	19620
57	3317	19563
58	3371	19486
59	3425	19408
60	3483	19357
61	3542	19312
62	3602	19268
63	3660	19217
64	3716	19154
65	3776	19110
66	3833	19050
67	3886	18975
68	3942	18910
69	4002	18868
70	4060	18813
71	4119	18765
72	4183	18738
73	4239	18677
74	4298	18626
75	4357	18576
76	4416	18525
77	4475	18474
78	4533	18419
79	4591	18367
80	4652	18322
81	4710	18267
82	4767	18209
83	4824	18149
84	4880	18086
85	4935	18020
86	4994	17969
87	5048	17897
88	5104	17836
89	5161	17777
90	5218	17719
91	5275	17662
92	5334	17608
93	5391	17551
94	5449	17495
95	5509	17445
96	5565	17385
97	5624	17331
98	5683	17280
99	5740	17220
100	5795	17156
101	5850	17094
102	5909	17039
103	5966	16981
104	6025	16930
105	6089	16890
106	6146	16831
107	6206	16781
108	6265	16726
109	6318	16657
110	6380	16613
111	6438	16555
112	6498	16504
113	6555	16447
114	6610	16383
115	6670	16331
116	6729	16276
117	6787	16220
118	6846	16165
119	6905	16113
120	6969	16070
121	7025	16007
122	7083	15951
123	7139	15890
124	7195	15829
125	7253	15773
126	7312	15719
127	7366	15653
128	7424	15596
129	7479	15534
130	7534	15472
131	7589	15408
132	7646	15351
133	7701	15287
134	7756	15224
135	7815	15171
136	7869	15106
137	7928	15052
138	7984	14991
139	8040	14933
140	8101	14882
141	8155	14818
142	8217	14768
143	8274	14710
144	8330	14649
145	8390	14597
146	8447	14539
147	8506	14484
148	8565	14428
149	8625	14376
150	8681	14315
151	8742	14263
152	8796	14200
153	8857	14149
154	8914	14090
155	8971	14032
156	9029	13975
157	9083	13913
158	9140	13855
159	9197	13795
160	9245	13723
161	9297	13659
162	9350	13595
163	9405	13534
164	9463	13478
165	9521	13421
166	9578	13363
167	9635	13306
168	9689	13244
169	9745	13185
170	9800	13125
171	9854	13062
172	9910	13003
173	9963	12940
174	10015	12877
175	10071	12817
176	10124	12756
177	10174	12689
178	10232	12632
179	10288	12574
180	10343	12515
181	10397	12454
182	10450	12391
183	10505	12332
184	10562	12275
185	10622	12222
186	10681	12167
187	10737	12107
188	10796	12053
189	10856	11999
190	10914	11943
191	10972	11886
192	11029	11830
193	11089	11775
194	11148	11720
195	11207	11665
196	11266	11609
197	11321	11550
198	11375	11490
199	11435	11435
200	11496	11381
201	11553	11325
202	11613	11270
203	11666	11209
204	11721	11149
205	11779	11092
206	11840	11039
207	11901	10985
208	11958	10928
209	12014	10869
210	12072	10813
211	12132	10758
212	12190	10702
213	12250	10647
214	12305	10588
215	12367	10535
216	12425	10479
217	12483	10422
218	12539	10363
219	12594	10304
220	12652	10248
221	12708	10189
222	12768	10134
223	12822	10075
224	12883	10020
225	12943	9965
226	13003	9910
227	13059	9852
228	13118	9795
229	13175	9738
230	13232	9681
231	13288	9622
232	13344	9564
233	13402	9507
234	13463	9452
235	13525	9399
236	13584	9343
237	13644	9287
238	13704	9231
239	13764	9176
240	13822	9119
241	13881	9063
242	13943	9008
243	14001	8951
244	14058	8894
245	14115	8836
246	14172	8778
247	14232	8722
248	14289	8665
249	14346	8607
250	14404	8551
251	14461	8493
252	14523	8438
253	14581	8381
254	14641	8325
255	14703	8270
256	14764	8215
257	14825	8159
258	14882	8102
259	14939	8044
260	15004	7990
261	15060	7932
262	15123	7878
263	15182	7821
264	15243	7765
265	15304	7709
266	15365	7654
267	15423	7596
268	15484	7540
269	15542	7483
270	15606	7429
271	15664	7371
272	15723	7314
273	15780	7256
274	15839	7199
275	15891	7139
276	15942	7079
277	15994	7019
278	16052	6961
279	16108	6903
280	16172	6848
281	16231	6791
282	16293	6736
283	16354	6680
284	16413	6622
285	16475	6566
286	16532	6509
287	16592	6452
288	16652	6396
289	16716	6340
290	16777	6284
291	16834	6226
292	16899	6171
293	16960	6114
294	17021	6058
295	17086	6003
296	17146	5946
297	17205	5889
298	17265	5832
299	17326	5775
300	17387	5718
301	17450	5662
302	17513	5606
303	17576	5550
304	17639	5494
305	17702	5437
306	17759	5380
307	17820	5322
308	17877	5264
309	17940	5208
310	18002	5151
311	18028	5085
312	18086	5027
313	18146	4969
314	18211	4914
315	18275	4857
316	18333	4800
317	18391	4742
318	18448	4684
319	18506	4626
320	18563	4568
321	18622	4511
322	18681	4453
323	18742	4396
324	18800	4338
325	18859	4280
326	18916	4222
327	18972	4164
328	19029	4106
329	19087	4048
330	19148	3991
331	19206	3933
332	19266	3876
333	19322	3818
334	19381	3760
335	19444	3703
336	19506	3646
337	19561	3588
338	19624	3531
339	19682	3473
340	19744	3416
341	19802	3358
342	19863	3300
343	19924	3243
344	19982	3185
345	20041	3127
346	20102	3070
347	20162	3012
348	20223	2955
349	20282	2897
350	20344	2840
351	20405	2782
352	20431	2720
353	20490	2662
354	20549	2604
355	20611	2547
356	20674	2490
357	20732	2432
358	20791	2374
359	20850	2316
360	20912	2259
361	20972	2201
362	21030	2143
363	21089	2085
364	21148	2027
365	21209	1970
366	21268	1912
367	21324	1854
368	21385	1796
369	21446	1738
370	21507	1681
371	21568	1623
372	21628	1565
373	21659	1505
374	21720	1448
375	21783	1390
376	21842	1332
377	21901	1274
378	21925	1214
379	21949	1155
380	22004	1097
381	22062	1039
382	22121	981
383	22179	924
384	22238	866
385	22300	808
386	22360	751
387	22418	693
388	22479	635
389	22540	577
390	22603	520
391	22659	462
392	22713	404
393	22774	346
394	22838	289
395	22898	231
396	22959	173
397	23019	115
398	23079	57
399	23138	0
